,movieId,movie_name,genres
248,904,Rear Window,Thriller
446,1254,"Treasure of the Sierra Madre, The",Western
1667,5618,Spirited Away (Sen to Chihiro no kamikakushi),Animation
367,1147,When We Were Kings,Documentary
78,260,Star Wars: Episode IV - A New Hope,Sci-Fi
19,50,"Usual Suspects, The",Mystery
368,1148,Wallace & Gromit: The Wrong Trousers,Children
248,904,Rear Window,Mystery
447,1256,Duck Soup,Musical
234,858,"Godfather, The",Drama
392,1197,"Princess Bride, The",Fantasy
211,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
1667,5618,Spirited Away (Sen to Chihiro no kamikakushi),Fantasy
3544,77658,Cosmos,Documentary
406,1212,"Third Man, The",Film-Noir
1523,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",Comedy
19,50,"Usual Suspects, The",Thriller
670,2019,Seven Samurai (Shichinin no samurai),Action
888,2859,Stop Making Sense,Musical
368,1148,Wallace & Gromit: The Wrong Trousers,Animation
234,858,"Godfather, The",Crime
2172,7502,Band of Brothers,Action
403,1209,Once Upon a Time in the West (C'era una volta il West),Western
413,1219,Psycho,Horror
670,2019,Seven Samurai (Shichinin no samurai),Adventure
266,922,Sunset Blvd. (a.k.a. Sunset Boulevard),Romance
2172,7502,Band of Brothers,War
1752,6016,City of God (Cidade de Deus),Adventure
150,527,Schindler's List,War
3563,79132,Inception,IMAX
